character,romaji,example,type,jlpt_level,meaning
ア,a,アメリカ (amerika) - America,katakana,N5,
イ,i,イギリス (igirisu) - England,katakana,N5,
ウ,u,ウクライナ (ukuraina) - Ukraine,katakana,N5,
エ,e,エレベーター (erebētā) - elevator,katakana,N5,
オ,o,オーストラリア (ōsutoraria) - Australia,katakana,N5,
カ,ka,カナダ (kanada) - Canada,katakana,N5,
キ,ki,キーボード (kībōdo) - keyboard,katakana,N5,
ク,ku,クッキー (kukkī) - cookie,katakana,N5,
ケ,ke,ケーキ (kēki) - cake,katakana,N5,
コ,ko,コーヒー (kōhī) - coffee,katakana,N5,
サ,sa,サッカー (sakkā) - soccer,katakana,N5,
シ,shi,シャツ (shatsu) - shirt,katakana,N5,
ス,su,スマホ (sumaho) - smartphone,katakana,N5,
セ,se,セーター (sētā) - sweater,katakana,N5,
ソ,so,ソファ (sofa) - sofa,katakana,N5,
タ,ta,タクシー (takushī) - taxi,katakana,N5,
チ,chi,チーズ (chīzu) - cheese,katakana,N5,
ツ,tsu,ツアー (tsuā) - tour,katakana,N5,
テ,te,テレビ (terebi) - television,katakana,N5,
ト,to,トマト (tomato) - tomato,katakana,N5,
ナ,na,ナイフ (naifu) - knife,katakana,N5,
ニ,ni,ニュース (nyūsu) - news,katakana,N5,
ヌ,nu,ヌガー (nugā) - nougat,katakana,N5,
ネ,ne,ネクタイ (nekutai) - necktie,katakana,N5,
ノ,no,ノート (nōto) - notebook,katakana,N5,
ハ,ha,ハンバーガー (hanbāgā) - hamburger,katakana,N5,
ヒ,hi,ヒーター (hītā) - heater,katakana,N5,
フ,fu,フランス (furansu) - France,katakana,N5,
ヘ,he,ヘリコプター (herikoputā) - helicopter,katakana,N5,
ホ,ho,ホテル (hoteru) - hotel,katakana,N5,
マ,ma,マンゴー (mangō) - mango,katakana,N5,
ミ,mi,ミルク (miruku) - milk,katakana,N5,
ム,mu,ムース (mūsu) - mousse,katakana,N5,
メ,me,メール (mēru) - email,katakana,N5,
モ,mo,モデル (moderu) - model,katakana,N5,
ヤ,ya,ヤクルト (yakuruto) - Yakult,katakana,N5,
ユ,yu,ユーモア (yūmoa) - humor,katakana,N5,
ヨ,yo,ヨーグルト (yōguruto) - yogurt,katakana,N5,
ラ,ra,ラジオ (rajio) - radio,katakana,N5,
リ,ri,リンゴ (ringo) - apple,katakana,N5,
ル,ru,ルーム (rūmu) - room,katakana,N5,
レ,re,レストラン (resutoran) - restaurant,katakana,N5,
ロ,ro,ロボット (robotto) - robot,katakana,N5,
ワ,wa,ワイン (wain) - wine,katakana,N5,
ヲ,wo,ヲタク (wotaku) - otaku (old spelling),katakana,N5,
ン,n,パン (pan) - bread,katakana,N5,
ガ,ga,ガム (gamu) - gum,katakana,N5,
ギ,gi,ギター (gitā) - guitar,katakana,N5,
グ,gu,グラス (gurasu) - glass,katakana,N5,
ゲ,ge,ゲーム (gēmu) - game,katakana,N5,
ゴ,go,ゴルフ (gorufu) - golf,katakana,N5,
ザ,za,ザクロ (zakuro) - pomegranate,katakana,N5,
ジ,ji,ジュース (jūsu) - juice,katakana,N5,
ズ,zu,ズボン (zubon) - pants,katakana,N5,
ゼ,ze,ゼリー (zerī) - jelly,katakana,N5,
ゾ,zo,ゾウ (zou) - elephant,katakana,N5,
ダ,da,ダンス (dansu) - dance,katakana,N5,
ヂ,ji,ヂェット (jetto) - jet (old spelling),katakana,N5,
ヅ,zu,ヅカ (zuka) - -zuka (suffix in Takarazuka),katakana,N5,
デ,de,デザイン (dezain) - design,katakana,N5,
ド,do,ドア (doa) - door,katakana,N5,
バ,ba,バス (basu) - bus,katakana,N5,
ビ,bi,ビール (bīru) - beer,katakana,N5,
ブ,bu,ブラジル (burajiru) - Brazil,katakana,N5,
ベ,be,ベッド (beddo) - bed,katakana,N5,
ボ,bo,ボール (bōru) - ball,katakana,N5,
パ,pa,パソコン (pasokon) - personal computer,katakana,N5,
ピ,pi,ピアノ (piano) - piano,katakana,N5,
プ,pu,プール (pūru) - swimming pool,katakana,N5,
ペ,pe,ペン (pen) - pen,katakana,N5,
ポ,po,ポケット (poketto) - pocket,katakana,N5,
ッ,(small tsu),ベッド (beddo) - bed,katakana,N5,
ャ,(small ya),キャンプ (kyanpu) - camp,katakana,N5,
ュ,(small yu),ミュージック (myūjikku) - music,katakana,N5,
ョ,(small yo),ショップ (shoppu) - shop,katakana,N5,
ヴ,vu,ヴァイオリン (vaiorin) - violin,katakana,N5,
ァ,(small a),ファン (fan) - fan,katakana,N5,
ィ,(small i),ウィンドウ (windou) - window,katakana,N5,
ゥ,(small u),ウィスキー (wisukī) - whiskey,katakana,N5,
ェ,(small e),ウェブ (webu) - web,katakana,N5,
ォ,(small o),フォト (foto) - photo,katakana,N5,
